flight_number,scheduled_departure_date_local,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,ground_time_outlier,departure_delay,arrival_delay,is_delayed,carrier_express,ground_time_pressure,total_pax,lap_child_count,is_child,pax_load_ratio,child_ratio,transfer_ratio,special_req_count,departure_delay_norm,arrival_delay_norm,total_seats_norm,scheduled_ground_time_minutes_norm,actual_ground_time_minutes_norm,minimum_turn_minutes_norm,ground_time_pressure_norm,total_pax_norm,lap_child_count_norm,pax_load_ratio_norm,child_ratio_norm,transfer_ratio_norm,special_req_count_norm,difficulty_score,ground_time_gap,daily_rank,difficulty_class
920,2025-08-03,LHR,2025-08-03 18:05:00+00:00,2025-08-04 08:20:00+00:00,2025-08-03 18:27:00+00:00,2025-08-04 08:06:00+00:00,167,B767-300,235.0,229,145,False,22.0,-14.0,1,0,0.6170212765957447,171,1,5,1.0239520958083832,0.03508771929824561,0.25874125874125875,60,0.04609929078014184,0.04716981132075472,0.17226890756302515,0.8810240963855422,0.0068415051311288486,0.9107142857142856,0.30851063829787234,0.3096153846153846,0.14285714285714285,0.5202516242158337,0.24966261808367068,0.25874125874125875,0.2727272727272727,0.16748203031823825,6.0,198.0,Medium
1776,2025-08-10,PHL,2025-08-10 18:20:00+00:00,2025-08-10 21:35:00+00:00,2025-08-10 20:11:00+00:00,2025-08-10 23:26:00+00:00,166,B737-800,76.0,69,51,False,111.0,111.0,1,0,0.6710526315789473,180,0,5,1.0843373493975903,0.027777777777777776,0.4470588235294118,41,0.15130023640661938,0.19457547169811318,0.16806722689075626,0.40210843373493976,0.002040448898757727,0.07142857142857145,0.3355263157894737,0.3269230769230769,0.0,0.5535101019543488,0.1976495726495726,0.4470588235294118,0.18181818181818182,0.22443411793344772,7.0,91.0,Difficult
1398,2025-08-05,ATL,2025-08-05 18:20:00+00:00,2025-08-05 21:29:00+00:00,2025-08-05 18:16:00+00:00,2025-08-05 21:49:00+00:00,166,B737-800,75.0,72,51,False,-4.0,20.0,0,0,0.68,136,0,3,0.8192771084337349,0.022058823529411766,0.7285714285714285,96,0.015366430260047283,0.08726415094339622,0.16806722689075626,0.3990963855421687,0.0021304687031146853,0.07142857142857145,0.34,0.24230769230769234,0.0,0.40752247087752147,0.15695701357466063,0.7285714285714285,0.44497607655502386,0.24023294322958105,3.0,55.0,Difficult
374,2025-08-15,MSP,2025-08-15 16:10:00+00:00,2025-08-15 17:49:00+00:00,2025-08-15 16:38:00+00:00,2025-08-15 18:24:00+00:00,126,A319-100,54.0,41,43,False,28.0,35.0,1,0,0.7962962962962963,128,1,1,1.0158730158730158,0.015625,0.7228915662650602,85,0.05319148936170213,0.10495283018867924,0.0,0.3358433734939759,0.0012002640580927805,0.0,0.39814814814814814,0.22692307692307695,0.14285714285714285,0.5158018971018927,0.11117788461538461,0.7228915662650602,0.39234449760765544,0.256372530606088,13.0,46.0,Difficult
1577,2025-08-15,SFO,2025-08-15 14:40:00+00:00,2025-08-15 17:26:00+00:00,2025-08-15 14:39:00+00:00,2025-08-15 17:11:00+00:00,234,B757-300,123.0,134,66,False,-1.0,-15.0,0,0,0.5365853658536586,261,1,10,1.1153846153846154,0.0421455938697318,0.4429530201342282,88,0.018912529550827423,0.04599056603773585,0.45378151260504196,0.5436746987951807,0.003990877993158495,0.2053571428571429,0.2682926829268293,0.4826923076923077,0.14285714285714285,0.5706100517483129,0.2998821102269378,0.4429530201342282,0.4066985645933014,0.19845619451774035,-11.0,162.0,Medium
881,2025-08-03,HND,2025-08-03 12:50:00+00:00,2025-08-04 15:55:00+00:00,2025-08-03 13:15:00+00:00,2025-08-04 16:01:00+00:00,318,B787-10,274.5,407,155,True,25.0,6.0,1,0,0.5646630236794171,370,0,16,1.1635220125786163,0.043243243243243246,0.6637931034482759,93,0.04964539007092199,0.07075471698113207,0.8067226890756302,1.0,0.012182680189641722,1.0,0.28233151183970856,0.6923076923076923,0.0,0.5971227590370488,0.3076923076923077,0.6637931034482759,0.43062200956937796,0.24557466429444336,-132.5,46.0,Difficult
2006,2025-08-09,GUA,2025-08-09 09:14:00+00:00,2025-08-09 12:45:00+00:00,2025-08-09 09:24:00+00:00,2025-08-09 12:57:00+00:00,166,B737-MAX8,90.0,126,65,False,10.0,12.0,1,0,0.7222222222222222,188,2,9,1.1325301204819278,0.05851063829787234,0.3105263157894737,80,0.03191489361702128,0.07783018867924528,0.16806722689075626,0.444277108433735,0.003750825181539939,0.1964285714285714,0.3611111111111111,0.34230769230769237,0.2857142857142857,0.5800533076046811,0.41632569558101473,0.3105263157894737,0.3684210526315789,0.19887061010849477,-36.0,172.0,Medium
307,2025-08-14,COS,2025-08-14 09:15:00+00:00,2025-08-14 11:08:00+00:00,2025-08-14 09:11:00+00:00,2025-08-14 10:44:00+00:00,179,B737-MAX9,94.0,85,56,False,-4.0,-24.0,0,0,0.5957446808510638,147,2,7,0.8212290502793296,0.061224489795918366,0.2823529411764706,68,0.015366430260047283,0.03537735849056604,0.2226890756302521,0.4563253012048193,0.0025205545219948392,0.1160714285714286,0.2978723404255319,0.26346153846153847,0.2857142857142857,0.4085975448493925,0.4356357927786499,0.2823529411764706,0.3110047846889952,0.16415634791793882,9.0,233.0,Easy
1538,2025-08-08,SAV,2025-08-08 11:05:00+00:00,2025-08-08 14:34:00+00:00,2025-08-08 10:59:00+00:00,2025-08-08 14:11:00+00:00,126,B737-700,100.0,108,43,False,-6.0,-23.0,0,0,0.43,188,3,13,1.492063492063492,0.0851063829787234,0.20689655172413793,73,0.013002364066193855,0.03655660377358491,0.0,0.4743975903614458,0.003210706355398188,0.0,0.215,0.34230769230769237,0.42857142857142855,0.7780740481706517,0.6055646481178396,0.20689655172413793,0.33492822966507174,0.15788625301551928,-8.0,234.0,Easy
1006,2025-08-02,LGA,2025-08-02 18:00:00+00:00,2025-08-02 21:20:00+00:00,2025-08-02 19:00:00+00:00,2025-08-02 22:10:00+00:00,166,B737-800,63.0,55,51,False,60.0,50.0,1,0,0.8095238095238095,199,0,11,1.1987951807228916,0.05527638190954774,0.4383561643835616,85,0.09101654846335697,0.12264150943396226,0.16806722689075626,0.3629518072289157,0.0016203564784252535,0.07142857142857145,0.40476190476190477,0.3634615384615385,0.0,0.6165502153738879,0.39331271743332047,0.4383561643835616,0.39234449760765544,0.25351427109292796,8.0,45.0,Difficult
1538,2025-08-06,SAV,2025-08-06 11:05:00+00:00,2025-08-06 14:34:00+00:00,2025-08-06 10:57:00+00:00,2025-08-06 14:09:00+00:00,126,B737-700,95.0,81,43,False,-8.0,-25.0,0,0,0.45263157894736844,116,0,3,0.9206349206349206,0.02586206896551724,0.4492753623188406,73,0.010638297872340427,0.03419811320754717,0.0,0.4593373493975904,0.002400528116185561,0.0,0.22631578947368422,0.20384615384615384,0.0,0.4633474668881408,0.18401856763925728,0.4492753623188406,0.33492822966507174,0.16936026835739657,14.0,196.0,Medium
2138,2025-08-08,LGA,2025-08-08 14:05:00+00:00,2025-08-08 17:27:00+00:00,2025-08-08 14:01:00+00:00,2025-08-08 17:13:00+00:00,166,B737-800,62.0,87,51,False,-4.0,-14.0,0,0,0.8225806451612904,167,0,3,1.0060240963855422,0.017964071856287425,0.273972602739726,72,0.015366430260047283,0.04716981132075472,0.16806722689075626,0.3599397590361446,0.0025805677248994783,0.07142857142857145,0.4112903225806452,0.30192307692307696,0.0,0.510377392772559,0.12782128051589128,0.273972602739726,0.3301435406698564,0.17759639378442538,-25.0,202.0,Easy
